"decimalLongitude","decimalLatitude"
76.371826,11.671192
77.44442,8.663834
76.69746,11.510136
77.87221,12.776313
77.20954,13.370699
77.40213,8.717067
77.21355,8.53086
76.43309,9.615644
76.27798,11.969242
77.15604,10.274233
79.75824,11.949451
77.251625,12.738973
76.90109,10.314937
76.97205,10.043271
77.565384,12.804441
76.16815,11.275832
77.08547,9.509944
77.587975,12.839904
77.39945,8.754
76.400986,9.60989
76.68055,12.26906
76.01835,11.857271
77.2353,9.4933
77.14195,11.994321
76.46398,10.42553
77.28188,12.695607
76.61337,12.660359
76.81499,10.29142
76.43372,9.625228
77.16196,9.123792
76.45716,12.164885
76.5493,10.689746
76.65,11.56
76.03333,11.783333
78.3902,13.539685
77.92463,12.488831
76.52783,10.487567
76.95459,8.466653
77.20352,10.307277
76.673134,12.30308
77.56841,12.97808
76.1651,10.3754
76.70707,10.131967
77.02712,12.073232
76.93927,12.379019
76.68,11.48
77.369,8.460517
76.696884,10.40205
76.944176,12.815435
76.54398,10.681473
77.5063,8.658417
77.08106,9.432015
77.50947,12.853694
77.091995,8.914486
76.68024,10.135034
76.59078,11.299551
77.116234,10.452374
77.13772,8.634829
76.986244,10.070089
76.36863,10.527982
76.65565,10.466712
76.6521,12.23448
76.627335,12.216846
77.43649,12.2995
77.52689,12.805789
77.48343,12.70743
77.682526,13.370484
77.52899,13.07952
77.15047,11.983755
76.717575,8.776595
76.38348,10.579369
76.68268,10.450337
77.14642,9.555047
76.90505,8.545492
76.13045,11.500808
76.39286,11.65527
77.04277,12.06159
77.15598,10.250116
77.10248,9.515433
77.137,10.0359
76.21,11.65
77.21179,8.570674
77.13328,10.038408
77.30753,9.439517
77.180954,9.583416
77.59,12.96
77.06532,12.100405
77.53088,8.534133
77.50919,8.644778
77.58547,12.946275
76.844086,10.470088
77.60083,12.894493
77.17442,8.684812
76.86928,11.420424
76.98286,12.548245
76.87295,10.472451
77.27735,9.481029
77.14723,9.463183
77.50878,12.941661
76.64094,11.572093
77.32327,13.74001
76.93472,12.827778
76.35754,9.53149
76.42856,9.627407
76.82619,12.808245
77.62,12.73
77.14018,8.547283
77.068726,10.054911
80.23773,13.004616
76.903534,9.5836
76.14693,10.544605
76.392624,9.472052
77.2,8.566934
77.45448,8.721167
76.66796,12.279541
76.6528,11.561002
76.30514,11.68969
77.02067,10.9963
76.2173,11.9182
76.9,8.522
76.19699,10.513045
76.366585,13.28886
76.24659,9.968119
77.65023,8.6733
76.60721,12.256176
76.51967,11.543041
76.74269,10.519972
80.28376,13.080147
79.05345,10.72081
76.36706,11.269636
77.52464,12.881952
76.78007,12.399443
76.93452,10.350881
77.3065,8.691166
76.93209,10.35552
76.87372,11.435162
76.68706,10.129818
77.06505,10.059678
76.3667,11.63
77.05725,10.093938
77.233284,8.626594
76.49583,10.433962
76.647,11.531
77.6524,8.697533
77.2947,8.336008
76.969376,10.34372
76.36202,11.35046
77.49886,10.251322
77.56472,12.053591
76.560295,12.202721
76.80581,11.124622
76.71092,11.418658
76.97,10.37
77.071,10.056433
77.1483,9.5187
76.90268,12.304686
77.14377,9.461253
76.41796,9.634134
77.03703,10.120507
77.041115,9.150231
77.444115,8.675484
76.66852,10.150888
76.20366,10.476672
77.18349,10.306467
77.17758,8.67199
77.25197,10.125017
76.62492,10.25384
76.42434,9.588685
76.92971,10.354246
76.63421,10.30351
76.38006,10.154351
76.05389,11.937899
77.3761,9.5031
76.707085,10.451167
76.94039,10.252168
77.509445,8.641444
76.430855,9.616322
76.30777,10.6443
77.48138,10.223876
76.9697,10.338118
76.57591,12.238359
77.566734,12.720223
76.73131,12.430894
76.683334,10.366667
76.765495,10.376353
76.54595,12.177651
76.3011,11.7569
77.3845,8.758534
76.064804,11.944139
76.978714,10.450434
76.68563,10.133002
76.27038,11.939134
77.169556,9.569721
76.750595,12.296901
76.42085,9.602812
76.083,11.8461
76.928696,10.32346
76.7,11.4
76.72917,10.11083
77.096523,10.250397
76.75,12.416667
76.55,11.616667
76.35,12.633333
76.25,12.166667
76.633333,12
76.966666,10.366666
78.45,10.35
76.666667,10.083333
76.816667,10.383333
76.75029,10.530598
76.66568,10.15026
77.4492,12.9236
76.736916,10.287636
77.01952,9.019388
76.46257,10.444766
76.68733,10.129733
76.75154,10.246006
76.38888,11.156357
76.714066,10.205759
76.22559,11.538799
76.62833,11.666204
76.794945,11.353146
77.13518,9.524872
76.93376,10.342502
79.12108,12.90998
76.217224,11.884359
76.928856,11.404096
77.180466,9.57705
76.992,8.426
76.41961,11.114064
76.944466,11.338001
78.45273,13.632838
